#{"t_start": 1706456337.5073395, "env_id": "CurvyRaceEnv-v0"}
r,l,t
-79.951394,100,0.03653
-59.03263,100,0.057549
-92.609782,100,0.076066
26.083676,100,2.075784
39.894696,100,4.773604
117.846998,100,7.470921
188.658117,100,10.222286
222.87324,100,12.920605
215.457917,100,15.647449
213.873333,100,18.464871
239.824573,100,21.191714
237.211942,100,23.905547
242.388916,100,26.725971
211.00038,100,29.476335
239.702753,100,32.198174
249.845021,100,35.027106
252.396827,100,37.830015
244.913709,100,40.550354
247.137443,100,43.376783
246.585465,100,46.105128
250.554491,100,48.841479
255.708057,100,51.656399
256.593437,100,54.393251
245.871648,100,57.566979
204.568924,100,60.470474
357.222674,100,63.174299
575.713127,100,65.958191
1075.867571,100,68.951264
1067.163407,100,71.648582
336.097224,100,74.347902
196.452282,100,77.143805
1077.92056,100,79.890166
1095.611083,100,82.66455
1062.55424,100,85.440936
1078.665337,100,88.140757
346.278485,100,90.804046
1095.605523,100,93.594945
1116.775698,100,96.375335
1085.214591,100,99.143214
1087.222904,100,101.985657
1118.678283,100,104.72401
1117.835668,100,107.468369
1115.656557,100,110.600061
1071.464628,100,113.352927
1095.51353,100,116.094283
1112.119826,100,118.931221
1105.318699,100,121.690093
1105.617442,100,124.44396
1112.31815,100,127.290406
1104.647501,100,130.030761
1110.920741,100,132.770617
1113.765077,100,135.595544
1105.352597,100,138.329895
1108.675785,100,141.017705
1119.182543,100,143.798595
1103.827046,100,146.485405
1115.37086,100,149.16821
1118.614985,100,151.938591
1110.264206,100,154.608886
1100.887582,100,157.374764
1110.084292,100,160.121124
1110.095463,100,162.820945
1120.057366,100,165.589824
1112.989756,100,168.390732
1116.922364,100,171.100561
1117.073898,100,173.841417
1118.226507,100,176.720891
1108.709515,100,179.49878
1105.515709,100,182.262155
1105.00885,100,185.120611
1110.913887,100,187.896997
1105.21653,100,190.648863
1112.641297,100,193.475793
1121.126866,100,196.229159
1113.173952,100,198.98703
1113.577108,100,201.897031
1118.500105,100,204.647895
1119.998796,100,207.407267
1115.204401,100,210.220184
1192.737528,100,212.954035
2202.513216,66,214.778603
1184.661386,100,217.517957
1220.499343,100,220.303351
2206.693812,73,222.271543
1254.432454,100,224.969862
2213.856832,94,227.596118
2199.417251,49,228.924761
1193.940597,100,231.644598
2202.091404,55,233.226959
2202.152946,50,234.548095
2200.903637,50,235.969816
998.52767,100,238.698162
2201.043548,45,239.945233
2199.515836,45,241.173289
2199.851675,46,242.506435
2198.495229,46,243.756009
2200.344562,49,245.070639
2199.629017,45,246.334725
2199.158743,45,247.570287
2199.456076,45,248.806349
2200.498895,46,250.113973
2199.078197,46,251.359043
2198.546812,46,252.584597
2200.837291,46,253.934757
2200.557157,46,255.199844
2199.025723,44,256.469436
2198.678337,45,257.741029
2198.421751,44,258.915538
2199.511585,45,260.177623
2202.33795,46,261.521779
2201.423488,46,262.784363
2199.186714,46,264.053955
2200.616342,45,265.364081
2201.311895,45,266.614656
2200.76416,45,267.840209
