#{"t_start": 1706455919.618664, "env_id": "CurvyRaceEnv-v0"}
r,l,t
-7.131438,100,0.039032
-32.480938,100,1.622895
-36.172059,100,5.73543
-61.258364,100,9.746377
-39.331922,100,14.122138
-96.416196,100,18.156105
-64.753845,100,22.283653
152.640247,100,26.621881
47.985066,100,30.369602
221.741734,100,34.201396
1051.511829,100,37.924596
-10.909918,100,41.666813
2200.594688,47,43.446342
792.239944,100,47.219085
968.410157,100,50.909256
-62.541231,100,54.737547
-89.326664,100,58.485268
-130.023032,100,62.137407
-78.727333,100,66.925022
-9.356892,100,71.299782
9.196682,100,75.046502
31.703804,100,78.865785
14.363468,100,82.865222
-203.765917,100,86.659984
-159.833872,100,90.458749
-260.992007,100,94.258015
-98.18581,100,98.047271
-148.324173,100,101.983655
-60.139398,100,105.767907
-69.670643,100,109.76134
-71.93967,100,113.620657
-57.74046,100,117.548533
-75.312066,100,121.252717
-134.299563,100,124.959403
-55.466253,100,128.686106
13.843925,100,132.459349
15.604012,100,136.191556
19.308856,100,139.963799
6.262507,100,143.754057
35.697806,100,147.536808
41.55353,100,151.381112
37.755553,100,155.302983
40.612557,100,159.195829
-50.89152,100,163.169244
-131.218188,100,167.241744
-186.643921,100,171.472382
-207.478352,100,175.616442
-82.352096,100,179.416208
53.740268,100,183.151418
-65.892388,100,186.904144
49.585237,100,190.626343
-77.329918,100,194.372563
105.077745,100,198.170328
208.193288,100,202.066676
18.062191,100,205.828409
542.825913,100,209.69173
595.380487,100,213.583575
848.276438,100,217.52196
1002.73646,100,221.433322
108.689304,100,225.317661
600.2123,100,229.313095
417.120751,100,233.060316
1141.39741,100,237.072263
2200.00929,49,238.912846
463.697373,100,242.73363
2198.160191,51,244.690312
984.154226,100,248.42352
1186.163102,100,252.18175
-60.017033,100,256.025554
-38.313748,100,259.90639
-34.571843,100,263.787225
28.190901,100,267.677069
145.336756,100,271.554901
-37.553252,100,275.223054
-46.50212,100,278.941751
-70.193335,100,282.651439
92.795841,100,286.365631
51.428415,100,290.137373
2196.424202,74,292.916762
1216.64938,100,296.680997
1068.007194,100,300.414206
131.403791,100,304.135404
1170.209498,100,307.861106
2198.429375,48,309.642137
2199.173802,46,311.358112
2199.677352,46,313.068082
2199.677043,48,314.846611
2200.093865,47,316.548574
1217.546059,100,320.270272
2199.158684,45,322.005264
2198.671908,48,323.82783
1217.246421,100,327.580055
11.626455,100,331.309261
29.089048,100,335.016447
-43.338115,100,338.720131
2201.379051,48,340.506165
2198.07431,46,342.231148
2227.37494,75,344.981011
2199.866545,48,346.764044
2197.20359,45,348.477516
1133.14569,100,352.1807
48.569128,100,355.884382
2197.74994,46,357.583343
2198.444468,50,359.455451
2197.064088,48,361.411133
2197.412394,47,363.098083
2197.396156,48,364.928657
64.407373,100,368.688388
2197.861992,48,370.49444
2199.14243,50,372.385065
716.86033,100,376.141794
2196.191562,47,377.946345
